"taskId","length","completionTime","executingTime","waitTime","taskPriority","vmId","vmCapacity","vmLoadAtExecution"
1,250,0.06,0.06,0,4,1,4000,1700
2,650,0.13,0.13,0,8,2,5000,2500
3,650,0.16,0.16,0,9,3,4000,1800
4,350,0.12,0.12,0,1,4,3000,1500
5,550,0.18,0.18,0,7,5,3000,2000
6,950,0.47,0.47,0,3,6,2000,2600
7,550,0.28,0.28,0,4,7,2000,2700
8,850,0.85,0.85,0,10,8,1000,3000
9,550,0.18,0.18,0,7,9,3000,2600
10,50,0.01,0.01,0,5,10,5000,700
11,550,0.18,0.18,0,2,11,3000,2400
12,750,0.38,0.38,0,9,12,2000,2200
13,750,0.25,0.25,0,9,13,3000,2200
14,450,0.23,0.23,0,8,14,2000,1900
15,650,0.33,0.33,0,2,15,2000,1500
16,950,0.47,0.47,0,9,16,2000,2200
17,850,0.21,0.21,0,5,17,4000,2700
18,250,0.05,0.05,0,4,18,5000,2300
19,50,0.02,0.02,0,9,19,3000,2100
20,450,0.11,0.11,0,8,20,4000,2200
21,250,0.06,0.06,0,9,21,4000,1200
22,150,0.03,0.03,0,8,22,5000,2700
23,150,0.03,0.03,0,7,23,5000,2100
24,850,0.28,0.28,0,3,24,3000,2800
25,650,0.16,0.16,0,1,25,4000,2300
26,50,0.03,0.03,0,5,26,2000,1400
27,550,0.28,0.28,0,1,27,2000,2300
28,450,0.23,0.23,0,9,28,2000,900
29,650,0.33,0.33,0,5,29,2000,2100
30,450,0.11,0.11,0,9,30,4000,1900
31,550,0.14,0.14,0,9,31,4000,1800
32,50,0.01,0.01,0,7,32,5000,1200
33,950,0.19,0.19,0,3,33,5000,2500
34,650,0.65,0.65,0,2,34,1000,1500
35,50,0.03,0.03,0,6,35,2000,1200
36,250,0.08,0.08,0,9,36,3000,1900
37,950,0.19,0.19,0,10,37,5000,2700
38,750,0.19,0.19,0,7,38,4000,1600
39,950,0.95,0.95,0,2,39,1000,2100
40,650,0.65,0.65,0,6,40,1000,2500
41,50,0.03,0.03,0,10,41,2000,1500
42,750,0.19,0.19,0,9,42,4000,3000
43,450,0.11,0.11,0,9,43,4000,2300
44,950,0.32,0.32,0,6,44,3000,2800
45,450,0.11,0.11,0,5,45,4000,2000
46,250,0.05,0.05,0,6,46,5000,1100
47,450,0.45,0.45,0,5,47,1000,1700
48,150,0.03,0.03,0,1,48,5000,900
49,350,0.35,0.35,0,4,49,1000,1600
50,350,0.09,0.09,0,7,50,4000,2100
51,50,0.07,0.01,0.06,10,1,4000,1450
52,850,0.3,0.17,0.13,3,2,5000,1850
53,350,0.25,0.09,0.16,8,3,4000,1150
54,150,0.17,0.05,0.12,1,4,3000,1150
55,450,0.33,0.15,0.18,10,5,3000,1450
56,950,0.95,0.47,0.47,8,6,2000,1650
57,350,0.45,0.17,0.28,10,7,2000,2150
58,650,1.5,0.65,0.85,4,8,1000,2150
59,350,0.3,0.12,0.18,10,9,3000,2050
60,250,0.06,0.05,0.01,4,10,5000,650
61,850,0.47,0.28,0.18,1,11,3000,1850
62,450,0.6,0.23,0.38,6,12,2000,1450
63,250,0.33,0.08,0.25,10,13,3000,1450
64,650,0.55,0.33,0.23,6,14,2000,1450
65,250,0.45,0.13,0.33,3,15,2000,850
66,250,0.6,0.13,0.47,9,16,2000,1250
67,650,0.38,0.16,0.21,10,17,4000,1850
68,650,0.18,0.13,0.05,9,18,5000,2050
69,950,0.33,0.32,0.02,3,19,3000,2050
70,250,0.17,0.06,0.11,6,20,4000,1750
71,50,0.07,0.01,0.06,7,21,4000,950
72,850,0.2,0.17,0.03,5,22,5000,2550
73,250,0.08,0.05,0.03,5,23,5000,1950
74,350,0.4,0.12,0.28,3,24,3000,1950
75,550,0.3,0.14,0.16,1,25,4000,1650
76,250,0.15,0.13,0.03,4,26,2000,1350
77,450,0.5,0.23,0.28,7,27,2000,1750
78,250,0.35,0.13,0.23,9,28,2000,450
79,750,0.7,0.38,0.33,1,29,2000,1450
80,450,0.23,0.11,0.11,10,30,4000,1450
81,350,0.23,0.09,0.14,10,31,4000,1250
82,350,0.08,0.07,0.01,8,32,5000,1150
83,450,0.28,0.09,0.19,9,33,5000,1550
84,50,0.7,0.05,0.65,7,34,1000,850
85,250,0.15,0.13,0.03,7,35,2000,1150
86,550,0.27,0.18,0.08,3,36,3000,1650
87,750,0.34,0.15,0.19,6,37,5000,1750
88,50,0.2,0.01,0.19,1,38,4000,850
89,250,1.2,0.25,0.95,9,39,1000,1150
90,950,1.6,0.95,0.65,6,40,1000,1850
91,650,0.35,0.33,0.03,9,41,2000,1450
92,850,0.4,0.21,0.19,9,42,4000,2250
93,550,0.25,0.14,0.11,8,43,4000,1850
94,250,0.4,0.08,0.32,9,44,3000,1850
95,450,0.23,0.11,0.11,9,45,4000,1550
96,50,0.06,0.01,0.05,4,46,5000,850
97,50,0.5,0.05,0.45,3,47,1000,1250
98,250,0.08,0.05,0.03,1,48,5000,750
99,50,0.4,0.05,0.35,3,49,1000,1250
100,750,0.28,0.19,0.09,9,50,4000,1750
101,650,0.24,0.16,0.07,1,1,4000,1400
102,50,0.31,0.01,0.3,10,2,5000,1000
103,50,0.26,0.01,0.25,9,3,4000,800
104,850,0.45,0.28,0.17,8,4,3000,1000
105,650,0.55,0.22,0.33,5,5,3000,1000
106,350,1.13,0.17,0.95,9,6,2000,700
107,850,0.88,0.42,0.45,7,7,2000,1800
108,850,2.35,0.85,1.5,4,8,1000,1500
109,750,0.55,0.25,0.3,10,9,3000,1700
110,150,0.09,0.03,0.06,10,10,5000,400
111,350,0.58,0.12,0.47,10,11,3000,1000
112,950,1.07,0.47,0.6,3,12,2000,1000
113,950,0.65,0.32,0.33,7,13,3000,1200
114,650,0.88,0.33,0.55,3,14,2000,800
115,250,0.57,0.13,0.45,10,15,2000,600
116,50,0.63,0.03,0.6,8,16,2000,1000
117,450,0.49,0.11,0.38,5,17,4000,1200
118,450,0.27,0.09,0.18,7,18,5000,1400
119,350,0.45,0.12,0.33,5,19,3000,1100
120,850,0.39,0.21,0.17,6,20,4000,1500
121,50,0.09,0.01,0.07,2,21,4000,900
122,750,0.35,0.15,0.2,7,22,5000,1700
123,950,0.27,0.19,0.08,10,23,5000,1700
124,950,0.72,0.32,0.4,4,24,3000,1600
125,350,0.39,0.09,0.3,7,25,4000,1100
126,350,0.32,0.17,0.15,4,26,2000,1100
127,550,0.78,0.28,0.5,10,27,2000,1300
128,150,0.42,0.07,0.35,6,28,2000,200
129,50,0.72,0.03,0.7,10,29,2000,700
130,250,0.29,0.06,0.23,7,30,4000,1000
131,450,0.34,0.11,0.23,9,31,4000,900
132,50,0.09,0.01,0.08,4,32,5000,800
133,950,0.47,0.19,0.28,4,33,5000,1100
134,250,0.95,0.25,0.7,5,34,1000,800
135,250,0.28,0.13,0.15,3,35,2000,900
136,850,0.55,0.28,0.27,7,36,3000,1100
137,750,0.49,0.15,0.34,10,37,5000,1000
138,150,0.24,0.04,0.2,9,38,4000,800
139,250,1.45,0.25,1.2,9,39,1000,900
140,50,1.65,0.05,1.6,8,40,1000,900
141,150,0.43,0.07,0.35,3,41,2000,800
142,950,0.64,0.24,0.4,8,42,4000,1400
143,950,0.49,0.24,0.25,5,43,4000,1300
144,750,0.65,0.25,0.4,9,44,3000,1600
145,150,0.26,0.04,0.23,6,45,4000,1100
146,50,0.07,0.01,0.06,3,46,5000,800
147,750,1.25,0.75,0.5,9,47,1000,1200
148,350,0.15,0.07,0.08,7,48,5000,500
149,750,1.15,0.75,0.4,7,49,1000,1200
150,150,0.31,0.04,0.28,6,50,4000,1000
151,750,0.42,0.19,0.24,8,1,4000,750
152,950,0.5,0.19,0.31,8,2,5000,950
153,750,0.45,0.19,0.26,10,3,4000,750
154,150,0.5,0.05,0.45,7,4,3000,150
155,350,0.67,0.12,0.55,1,5,3000,350
156,350,1.3,0.17,1.13,7,6,2000,350
157,950,1.35,0.47,0.88,3,7,2000,950
158,650,3,0.65,2.35,7,8,1000,650
159,950,0.87,0.32,0.55,6,9,3000,950
160,250,0.14,0.05,0.09,2,10,5000,250
161,650,0.8,0.22,0.58,8,11,3000,650
162,50,1.1,0.03,1.07,8,12,2000,50
163,250,0.73,0.08,0.65,7,13,3000,250
164,150,0.95,0.07,0.88,6,14,2000,150
165,350,0.75,0.17,0.57,7,15,2000,350
166,950,1.1,0.47,0.63,3,16,2000,950
167,750,0.68,0.19,0.49,4,17,4000,750
168,950,0.46,0.19,0.27,2,18,5000,950
169,750,0.7,0.25,0.45,4,19,3000,750
170,650,0.55,0.16,0.39,1,20,4000,650
171,850,0.3,0.21,0.09,9,21,4000,850
172,950,0.54,0.19,0.35,7,22,5000,950
173,750,0.42,0.15,0.27,3,23,5000,750
174,650,0.93,0.22,0.72,3,24,3000,650
175,750,0.58,0.19,0.39,6,25,4000,750
176,750,0.7,0.38,0.32,1,26,2000,750
177,750,1.15,0.38,0.78,9,27,2000,750
178,50,0.45,0.03,0.42,5,28,2000,50
179,650,1.05,0.33,0.72,10,29,2000,650
180,750,0.47,0.19,0.29,9,30,4000,750
181,450,0.45,0.11,0.34,2,31,4000,450
182,750,0.24,0.15,0.09,10,32,5000,750
183,150,0.5,0.03,0.47,9,33,5000,150
184,550,1.5,0.55,0.95,4,34,1000,550
185,650,0.6,0.33,0.28,2,35,2000,650
186,250,0.63,0.08,0.55,8,36,3000,250
187,250,0.54,0.05,0.49,2,37,5000,250
188,650,0.4,0.16,0.24,2,38,4000,650
189,650,2.1,0.65,1.45,5,39,1000,650
190,850,2.5,0.85,1.65,5,40,1000,850
191,650,0.75,0.33,0.43,4,41,2000,650
192,450,0.75,0.11,0.64,6,42,4000,450
193,350,0.57,0.09,0.49,8,43,4000,350
194,850,0.93,0.28,0.65,1,44,3000,850
195,950,0.5,0.24,0.26,6,45,4000,950
196,750,0.22,0.15,0.07,8,46,5000,750
197,450,1.7,0.45,1.25,1,47,1000,450
198,150,0.18,0.03,0.15,6,48,5000,150
199,450,1.6,0.45,1.15,7,49,1000,450
200,850,0.53,0.21,0.31,3,50,4000,850